season,week,posteam,defteam,full_player_name,position,xFP_nonQB,ffpts_total_nonQB,xFP_left_short,xFP_middle_short,xFP_right_short,xFP_left_inter,xFP_middle_inter,xFP_right_inter,xFP_left_deep,xFP_middle_deep,xFP_right_deep
2019,3,BUF,CIN,Tommy Sweeney,TE,1.3042776584625244,0,0,0,0,0,0,0,0,0,0
2019,3,BUF,CIN,John Brown,WR,1.7250263690948486,3.7,0,0,0,0,0,0,0,0,3.7
2019,3,BUF,CIN,Isaiah McKenzie,WR,1.2850877046585083,1.9,0,1.9,0,0,0,0,0,0,0
2019,3,BUF,CIN,Frank Gore,RB,0.4716988801956177,-0.1,0,0,-0.1,0,0,0,0,0,0
2019,3,CIN,BUF,Joe Mixon,RB,0.43758624792099,1.1,0,1.1,0,0,0,0,0,0,0
2019,3,CIN,BUF,CJ Uzomah,TE,1.7668074369430542,0,0,0,0,0,0,0,0,0,0
2019,3,CIN,BUF,Auden Tate,WR,1.2892727851867676,0,0,0,0,0,0,0,0,0,0
2019,3,BUF,CIN,Frank Gore,RB,1.4417195320129395,2.3,0,0,0,0,0,2.3,0,0,0
2019,3,BUF,CIN,John Brown,WR,1.5805833339691162,2.1,0,0,0,0,0,0,2.1,0,0
2019,3,BUF,CIN,Frank Gore,RB,0.5046841502189636,0,0,0,0,0,0,0,0,0,0
2019,3,BUF,CIN,John Brown,WR,0.49988794326782227,0.4,0,0,0.4,0,0,0,0,0,0
2019,3,BUF,CIN,Zay Jones,WR,1.5098189115524292,3.3000000000000003,0,0,0,0,0,0,0,3.3000000000000003,0
2019,3,BUF,CIN,Cole Beasley,WR,1.8045908212661743,1.8,0,0,0,1.8,0,0,0,0,0
2019,3,BUF,CIN,Dawson Knox,TE,2.518829107284546,7.1,0,0,0,0,0,7.1,0,0,0
2019,3,CIN,BUF,Joe Mixon,RB,0.4510023593902588,0.30000000000000004,0,0.30000000000000004,0,0,0,0,0,0,0
2019,3,CIN,BUF,Joe Mixon,RB,0.4885224997997284,-0.1,0,0,-0.1,0,0,0,0,0,0
2019,3,CIN,BUF,John Ross,WR,1.466518521308899,0,0,0,0,0,0,0,0,0,0
2019,3,BUF,CIN,TJ Yeldon,RB,0.5216782689094543,0.9,0,0,0.9,0,0,0,0,0,0
2019,3,BUF,CIN,Dawson Knox,TE,0.4659406244754791,0.9,0.9,0,0,0,0,0,0,0,0
2019,3,BUF,CIN,Frank Gore,RB,0.5046841502189636,0.8,0,0,0.8,0,0,0,0,0,0
2019,3,BUF,CIN,Isaiah McKenzie,WR,0.47827377915382385,0.8,0,0,0.8,0,0,0,0,0,0
2019,3,BUF,CIN,TJ Yeldon,RB,1.474372386932373,1.7000000000000002,1.7000000000000002,0,0,0,0,0,0,0,0
2019,3,BUF,CIN,Dawson Knox,TE,1.4291653633117676,2.7,0,0,0,2.7,0,0,0,0,0
2019,3,BUF,CIN,Tommy Sweeney,TE,1.1650553941726685,1.3,0,0,0,0,1.3,0,0,0,0
2019,3,BUF,CIN,TJ Yeldon,RB,1.6501744985580444,0,0,0,0,0,0,0,0,0,0
2019,3,CIN,BUF,John Ross,WR,1.364481806755066,1.7000000000000002,0,0,0,1.7000000000000002,0,0,0,0,0
2019,3,BUF,CIN,TJ Yeldon,RB,0.43019360303878784,0.4,0,0.4,0,0,0,0,0,0,0
2019,3,BUF,CIN,Cole Beasley,WR,1.3862073421478271,1.5,0,0,0,0,0,1.5,0,0,0
2019,3,BUF,CIN,Tommy Sweeney,TE,2.0292296409606934,0,0,0,0,0,0,0,0,0,0
2019,3,BUF,CIN,Dawson Knox,TE,1.998848795890808,0,0,0,0,0,0,0,0,0,0
2019,3,BUF,CIN,Zay Jones,WR,1.5100839138031006,2,0,0,0,0,0,2,0,0,0
